,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
539,85wpTSDkwIQ,Pilatos e Herodes Interrogam Jesus - Língua de Sinais de Moçambique - KGH - Tema,"Pilatos e Herodes Interrogam Jesus - Lucas 23.1-16; Mateus 27.15-31
Língua de Sinais de Moçambique - Conheça a Deus como história 27",PT20S,0:0:20,20.0
540,ZzYzOXT80gE,Os Lideres Judaicos Interrogam Jesus - Língua de Sinais de Moçambique - KGH - Diálogo,"Os Lideres Judaicos Interrogam Jesus - Mateus 26.47-75, 27.1-5
Língua de Sinais de Moçambique - Conheça a Deus como história 26",PT12M8S,0:12:8,728.0
541,eJamLy7Ndao,Os Lideres Judaicos Interrogam Jesus - Língua de Sinais de Moçambique - KGH - História,"Os Lideres Judaicos Interrogam Jesus - Mateus 26.47-75, 27.1-5
Língua de Sinais de Moçambique - Conheça a Deus como história 26",PT9M35S,0:9:35,575.0
542,oKxDz7lqh9k,Os Lideres Judaicos Interrogam Jesus - Língua de Sinais de Moçambique - KGH - Mais Inform,"Os Lideres Judaicos Interrogam Jesus - Mateus 26.47-75, 27.1-5
Língua de Sinais de Moçambique - Conheça a Deus como história 26",PT1M36S,0:1:36,96.0
543,ynAou6Rg3BE,Os Lideres Judaicos Interrogam Jesus - Língua de Sinais de Moçambique - KGH - Intro,"Os Lideres Judaicos Interrogam Jesus - Mateus 26.47-75, 27.1-5
Língua de Sinais de Moçambique - Conheça a Deus como história 26",PT1M21S,0:1:21,81.0
544,Ewaq9Bi6CJA,Os Lideres Judaicos Interrogam Jesus - Língua de Sinais de Moçambique - KGH - Tema,"Os Lideres Judaicos Interrogam Jesus - Mateus 26.47-75, 27.1-5
Língua de Sinais de Moçambique - Conheça a Deus como história 26",PT22S,0:0:22,22.0
545,9OWlau6MR7M,A Última Ceia (A ceia do Senhor) - Língua de Sinais de Moçambique - KGH - Diálogo,"A Última Ceia (A ceia do Senhor) - Lucas 22.1-13; Mateus 26.20-35
Língua de Sinais de Moçambique - Conheça a Deus como história 25",PT7M29S,0:7:29,449.0
546,bAaR0OH9PAg,A Última Ceia (A ceia do Senhor) - Língua de Sinais de Moçambique - KGH - História,"A Última Ceia (A ceia do Senhor) - Lucas 22.1-13; Mateus 26.20-35
Língua de Sinais de Moçambique - Conheça a Deus como história 25",PT6M43S,0:6:43,403.0
547,Q2mH49lXTmM,A Última Ceia (A ceia do Senhor) - Língua de Sinais de Moçambique - KGH - Intro,"A Última Ceia (A ceia do Senhor) - Lucas 22.1-13; Mateus 26.20-35
Língua de Sinais de Moçambique - Conheça a Deus como história 25",PT5M54S,0:5:54,354.0
548,BZ152l429us,A Última Ceia (A ceia do Senhor) - Língua de Sinais de Moçambique - KGH - Mais Inform,"A Última Ceia (A ceia do Senhor) - Lucas 22.1-13; Mateus 26.20-35
Língua de Sinais de Moçambique - Conheça a Deus como história 25",PT2M28S,0:2:28,148.0
