,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
135,8PiCs2ligjM,Believers' Fellowship - South Sudan Sign Language - FGH - More Info,"Believers' Fellowship: Acts 2:42-47
South Sudan Sign Language - Follow God How Story 77",PT4M10S,0:4:10,250.0
136,1LKTeA-Si54,Believers' Fellowship - South Sudan Sign Language - FGH - Story,"Believers' Fellowship: Acts 2:42-47
South Sudan Sign Language - Follow God How Story 77",PT2M38S,0:2:38,158.0
137,w6EOcMBh7gU,Believers' Fellowship - South Sudan Sign Language - FGH - Intro,"Believers' Fellowship: Acts 2:42-47
South Sudan Sign Language - Follow God How Story 77",PT2M36S,0:2:36,156.0
138,2_oxuEIBK-U,Believers' Fellowship - South Sudan Sign Language - FGH - Topic,"Believers' Fellowship: Acts 2:42-47
South Sudan Sign Language - Follow God How Story 77",PT25S,0:0:25,25.0
139,rvsfqs0NuUo,God Sends the Holy Spirit - South Sudan Sign Language - FGH - Story,"God Sends the Holy Spirit: Acts 2:1-41
South Sudan Sign Language - Follow God How Story 76",PT11M43S,0:11:43,703.0
140,dP4PPRkN-KY,God Sends the Holy Spirit - South Sudan Sign Language - FGH - More Info,"God Sends the Holy Spirit: Acts 2:1-41
South Sudan Sign Language - Follow God How Story 76",PT2M21S,0:2:21,141.0
141,nmUml06HhSs,God Sends the Holy Spirit - South Sudan Sign Language - FGH - Intro,"God Sends the Holy Spirit: Acts 2:1-41
South Sudan Sign Language - Follow God How Story 76",PT3M10S,0:3:10,190.0
142,53Dk4jzBr0I,God Sends the Holy Spirit - South Sudan Sign Language - FGH - Topic,"God Sends the Holy Spirit: Acts 2:1-41
South Sudan Sign Language - Follow God How Story 76",PT15S,0:0:15,15.0
143,7PZtiMEyk_g,Jesus Commissions the Disciples and Goes to Heaven - South Sudan Sign Language - FGH - Dialogue,"Jesus Commissions the Disciples and Goes to Heaven: Matthew 28:16-20, Acts 1:4-12
 South Sudan Sign Language - Follow God How Story 75",PT11M27S,0:11:27,687.0
144,qBxRw_w9Jic,Jesus Commissions the Disciples and Goes to Heaven - South Sudan Sign Language - FGH - Story,"Jesus Commissions the Disciples and Goes to Heaven: Matthew 28:16-20, Acts 1:4-12
 South Sudan Sign Language - Follow God How Story 75",PT7M1S,0:7:1,421.0
145,9GQ59ng7M_A,Jesus Commissions the Disciples and Goes to Heaven - South Sudan Sign Language - FGH - More Info,"Jesus Commissions the Disciples and Goes to Heaven: Matthew 28:16-20, Acts 1:4-12
 South Sudan Sign Language - Follow God How Story 75",PT3M38S,0:3:38,218.0
146,fVX2uWNbWwQ,Jesus Commissions the Disciples and Goes to Heaven - South Sudan Sign Language - FGH - Intro,"Jesus Commissions the Disciples and Goes to Heaven: Matthew 28:16-20, Acts 1:4-12
 South Sudan Sign Language - Follow God How Story 75",PT2M17S,0:2:17,137.0
147,kp3Kd-YY2Q8,Jesus Commissions the Disciples and Goes to Heaven - South Sudan Sign Language - FGH - Topic,"Jesus Commissions the Disciples and Goes to Heaven: Matthew 28:16-20, Acts 1:4-12
 South Sudan Sign Language - Follow God How Story 75",PT23S,0:0:23,23.0
148,SVxwCcbhVd4,Jesus Appears to the Disciples - South Sudan Sign Language - FGH - Story,"Jesus Appears to the Disciples: John 20:19-29
South Sudan Sign Language - Follow God How Story 74",PT4M22S,0:4:22,262.0
149,mhsbNz0em4k,Jesus Appears to the Disciples - South Sudan Sign Language - FGH - Dialogue,"Jesus Appears to the Disciples: John 20:19-29
South Sudan Sign Language - Follow God How Story 74",PT2M32S,0:2:32,152.0
150,uLTfHlgVxLw,Jesus Appears to the Disciples - South Sudan Sign Language - FGH - Intro,"Jesus Appears to the Disciples: John 20:19-29
South Sudan Sign Language - Follow God How Story 74",PT2M34S,0:2:34,154.0
