,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
66,cMBpWLjRJ-8,Story - Paul Preaches in Ephesus - Nigerian Sign Language,"Paul Preaches in Ephesus - Acts 19:1-20
Nigerian Sign Language - CBT 097, SGH 022",PT7M23S,0:7:23,443.0
67,bcUCr0EXEzo,Introduction - Paul Preaches in Ephesus - Nigerian Sign Language,"Paul Preaches in Ephesus - Acts 19:1-20
Nigerian Sign Language - CBT 097, SGH 022",PT3M21S,0:3:21,201.0
68,aHTkAH9F2sw,Topic - Paul Preaches in Ephesus - Nigerian Sign Language,"Paul Preaches in Ephesus - Acts 19:1-20
Nigerian Sign Language - CBT 097, SGH 022",PT18S,0:0:18,18.0
69,Aa4D9IVggHs,Dialogue - Paul Preaches in Corinth - Nigerian Sign Language,"Paul Preaches in Corinth - Acts 18:1-11
Nigerian Sign Language - CBT 096, SGH 021",PT7M33S,0:7:33,453.0
70,FIDfg84M7-o,More Information - Paul Preaches in Corinth - Nigerian Sign Language,"Paul Preaches in Corinth - Acts 18:1-11
Nigerian Sign Language - CBT 096, SGH 021",PT49S,0:0:49,49.0
71,hl-rkDAiYZ4,Story - Paul Preaches in Corinth - Nigerian Sign Language,"Paul Preaches in Corinth - Acts 18:1-11
Nigerian Sign Language - CBT 096, SGH 021",PT6M3S,0:6:3,363.0
72,ddV7Pev8pbk,Introduction - Paul Preaches in Corinth - Nigerian Sign Language,"Paul Preaches in Corinth - Acts 18:1-11
Nigerian Sign Language - CBT 096, SGH 021",PT3M21S,0:3:21,201.0
73,XSKyjTld2oE,Topic - Paul Preaches in Corinth - Nigerian Sign Language,"Paul Preaches in Corinth - Acts 18:1-11
Nigerian Sign Language - CBT 096, SGH 021",PT19S,0:0:19,19.0
74,eA-H4CeBpto,Dialogue - Paul and Silas Go to Thessalonica and Berea - Nigerian Sign Language,"Paul and Silas Go to Thessalonica and Berea - Acts 17:1-15
Nigerian Sign Language - CBT 095, SGH 020",PT7M6S,0:7:6,426.0
75,xFfyUvOQWxE,More Information - Paul and Silas Go to Thessalonica and Berea - Nigerian Sign Language,"Paul and Silas Go to Thessalonica and Berea - Acts 17:1-15
Nigerian Sign Language - CBT 095, SGH 020",PT3M38S,0:3:38,218.0
76,R_TxBpF7k_s,Story - Paul and Silas Go to Thessalonica and Berea - Nigerian Sign Language,"Paul and Silas Go to Thessalonica and Berea - Acts 17:1-15
Nigerian Sign Language - CBT 095, SGH 020",PT8M51S,0:8:51,531.0
77,rqwjCOQxXM0,Introduction - Paul and Silas Go to Thessalonica and Berea - Nigerian Sign Language,"Paul and Silas Go to Thessalonica and Berea - Acts 17:1-15
Nigerian Sign Language - CBT 095, SGH 020",PT2M57S,0:2:57,177.0
78,qVQPXuV7ke0,Topic - Paul and Silas Go to Thessalonica and Berea - Nigerian Sign Language,"Paul and Silas Go to Thessalonica and Berea - Acts 17:1-15
Nigerian Sign Language - CBT 095, SGH 020",PT17S,0:0:17,17.0
79,Hg9A6pxseIM,Dialogue - The Lord Frees Paul and Silas from Prison - Nigerian Sign Language,"The Lord Frees Paul and Silas from Prison - Acts 16:16-40
Nigerian Sign Language - CBT 094, SGH 019",PT8M49S,0:8:49,529.0
80,zYQzbthKvo0,More Information - The Lord Frees Paul and Silas from Prison - Nigerian Sign Language,"The Lord Frees Paul and Silas from Prison - Acts 16:16-40
Nigerian Sign Language - CBT 094, SGH 019",PT1M57S,0:1:57,117.0
81,oKX2_xN0hZo,Story - The Lord Frees Paul and Silas from Prison - Nigerian Sign Language,"The Lord Frees Paul and Silas from Prison - Acts 16:16-40
Nigerian Sign Language - CBT 094, SGH 019",PT9M17S,0:9:17,557.0
82,u2bvCk7jAGs,Introduction - The Lord Frees Paul and Silas from Prison - Nigerian Sign Language,"The Lord Frees Paul and Silas from Prison - Acts 16:16-40
Nigerian Sign Language - CBT 094, SGH 019",PT3M26S,0:3:26,206.0
83,r1btzp5uy3c,Topic - The Lord Frees Paul and Silas from Prison - Nigerian Sign Language,"The Lord Frees Paul and Silas from Prison - Acts 16:16-40
Nigerian Sign Language - CBT 094, SGH 019",PT19S,0:0:19,19.0
84,woiJeMloQGY,Dialogue - Paul Goes to Macedonia - Nigerian Sign Language,"Paul Goes to Macedonia - Acts 16:1-15
Nigerian Sign Language - CBT 093, SGH 018",PT8M59S,0:8:59,539.0
85,R9WV0Ny99WI,More Information - Paul Goes to Macedonia - Nigerian Sign Language,"Paul Goes to Macedonia - Acts 16:1-15
Nigerian Sign Language - CBT 093, SGH 018",PT9M5S,0:9:5,545.0
86,7VzpRC3_G0M,Story - Paul Goes to Macedonia - Nigerian Sign Language,"Paul Goes to Macedonia - Acts 16:1-15
Nigerian Sign Language - CBT 093, SGH 018",PT8M12S,0:8:12,492.0
87,75PPgoP0oQA,Introduction - Paul Goes to Macedonia - Nigerian Sign Language,"Paul Goes to Macedonia - Acts 16:1-15
Nigerian Sign Language - CBT 093, SGH 018",PT3M36S,0:3:36,216.0
88,dhxmn_v0SVM,Topic - Paul Goes to Macedonia - Nigerian Sign Language,"Paul Goes to Macedonia - Acts 16:1-15
Nigerian Sign Language - CBT 093, SGH 018",PT19S,0:0:19,19.0
89,rFoW-AEQ5go,Dialogue - Follow God's Spirit - Nigerian Sign Language,"Follow God's Spirit - Galatians 5:16-26
Nigerian Sign Language - CBT 092, SGH 017",PT14M13S,0:14:13,853.0
90,tZDad4PMLeo,More Information - Follow God's Spirit - Nigerian Sign Language,"Follow God's Spirit - Galatians 5:16-26
Nigerian Sign Language - CBT 092, SGH 017",PT5M43S,0:5:43,343.0
91,kBEO388T8J4,Story - Follow God's Spirit - Nigerian Sign Language,"Follow God's Spirit - Galatians 5:16-26
Nigerian Sign Language - CBT 092, SGH 017",PT4M50S,0:4:50,290.0
92,ZUTI--UpJs0,Introduction - Follow God's Spirit - Nigerian Sign Language,"Follow God's Spirit - Galatians 5:16-26
Nigerian Sign Language - CBT 092, SGH 017",PT2M23S,0:2:23,143.0
93,56VG_ZNO_mI,Topic - Follow God's Spirit - Nigerian Sign Language,"Follow God's Spirit - Galatians 5:16-26
Nigerian Sign Language - CBT 092, SGH 017",PT12S,0:0:12,12.0
94,LThfFllIdmM,Dialogue - Paul & Barnabas Separate - Nigerian Sign Language,"Paul & Barnabas Separate - Acts 15:36-41
Nigerian Sign Language - CBT 091, SGH 016",PT7M19S,0:7:19,439.0
95,BC4vrS-vShQ,More Information - Paul & Barnabas Separate - Nigerian Sign Language,"Paul & Barnabas Separate - Acts 15:36-41
Nigerian Sign Language - CBT 091, SGH 016",PT2M24S,0:2:24,144.0
96,GJeFFbGa_NU,Story - Paul & Barnabas Separate - Nigerian Sign Language,"Paul & Barnabas Separate - Acts 15:36-41
Nigerian Sign Language - CBT 091, SGH 016",PT2M22S,0:2:22,142.0
97,yVQyBrRr4hY,Introduction - Paul & Barnabas Separate - Nigerian Sign Language,"Paul & Barnabas Separate - Acts 15:36-41
Nigerian Sign Language - CBT 091, SGH 016",PT2M17S,0:2:17,137.0
98,EZtM-QziWO0,Topic - Paul & Barnabas Separate - Nigerian Sign Language,"Paul & Barnabas Separate - Acts 15:36-41
Nigerian Sign Language - CBT 091, SGH 016",PT15S,0:0:15,15.0
99,bUmBGI1C6gY,Dialogue - Paul and Barnabas appoint Leaders for the Churches - Nigerian Sign Language,"Paul and Barnabas appoint Leaders for the Churches - Acts 14:21-28
Nigerian Sign Language - CBT 090, SGH 015",PT6M10S,0:6:10,370.0
100,z8KKLotDuOY,More Information - Paul and Barnabas appoint Leaders for the Churches - Nigerian Sign Language,"Paul and Barnabas appoint Leaders for the Churches - Acts 14:21-28
Nigerian Sign Language - CBT 090, SGH 015",PT3M40S,0:3:40,220.0
101,uUkpOpn6_vk,Story - Paul and Barnabas appoint Leaders for the Churches - Nigerian Sign Language,"Paul and Barnabas appoint Leaders for the Churches - Acts 14:21-28
Nigerian Sign Language - CBT 090, SGH 015",PT5M28S,0:5:28,328.0
102,ed98YWMdcgs,Introduction - Paul and Barnabas appoint Leaders for the Churches - Nigerian Sign Language,"Paul and Barnabas appoint Leaders for the Churches - Acts 14:21-28
Nigerian Sign Language - CBT 090, SGH 015",PT4M6S,0:4:6,246.0
103,vmlTsmGNQWs,Topic - Paul and Barnabas appoint Leaders for the Churches - Nigerian Sign Language,"Paul and Barnabas appoint Leaders for the Churches - Acts 14:21-28
Nigerian Sign Language - CBT 090, SGH 015",PT37S,0:0:37,37.0
104,BdSRiHRpZ74,Dialogue - A Jewish Sorcerer - Nigerian Sign Language,"A Jewish Sorcerer - Acts 13:1-12
Nigerian Sign Language - CBT 089, SGH 014",PT10M19S,0:10:19,619.0
105,ZZ3HW2ghm3Q,More Information - A Jewish Sorcerer - Nigerian Sign Language,"A Jewish Sorcerer - Acts 13:1-12
Nigerian Sign Language - CBT 089, SGH 014",PT9M16S,0:9:16,556.0
106,tcu6Ps6h0Wc,Story - A Jewish Sorcerer - Nigerian Sign Language,"A Jewish Sorcerer - Acts 13:1-12
Nigerian Sign Language - CBT 089, SGH 014",PT7M53S,0:7:53,473.0
107,0qZaBjdmfiM,Introduction - A Jewish Sorcerer - Nigerian Sign Language,"A Jewish Sorcerer - Acts 13:1-12
Nigerian Sign Language - CBT 089, SGH 014",PT3M50S,0:3:50,230.0
108,yRzBap5hV_s,Topic - A Jewish Sorcerer - Nigerian Sign Language,"A Jewish Sorcerer - Acts 13:1-12
Nigerian Sign Language - CBT 089, SGH 014",PT14S,0:0:14,14.0
109,I0_RjNKtU2w,Dialogue - Herod Persecutes the Apostles - Nigerian Sign Language,"Herod Persecutes the Apostles - Acts 12:1-19
Nigerian Sign Language - CBT 088, SGH 013",PT17M17S,0:17:17,1037.0
110,-a_WhjBnLhk,More Information - Herod Persecutes the Apostles - Nigerian Sign Language,"Herod Persecutes the Apostles - Acts 12:1-19
Nigerian Sign Language - CBT 088, SGH 013",PT13M6S,0:13:6,786.0
111,R3EWkcVsbvY,Story - Herod Persecutes the Apostles - Nigerian Sign Language,"Herod Persecutes the Apostles - Acts 12:1-19
Nigerian Sign Language - CBT 088, SGH 013",PT11M24S,0:11:24,684.0
